Date,S&P500,AAL,ALGT,ALK,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,FB,GOOG,IBM,MSFT
06-02-2020,3345.780029,28.299999,167.779999,64.019997,58.18,28.780001000000002,57.720001,9.08,13.09,10.37,241.82000699999998,55.009997999999996,47.98,28.92,153.529999,85.68,38.259997999999996,43.43,292.459991,81.302498,2050.22998,210.850006,1476.22998,156.759995,183.630005
07-02-2020,3327.709961,28.379998999999998,162.580002,63.959998999999996,57.919998,28.34,57.259997999999996,9.07,13.06,10.41,238.0,55.029999,47.84,28.15,151.889999,85.08000200000001,38.049999,43.32,289.22000099999997,80.0075,2079.280029,212.330002,1479.22998,153.41000400000001,183.889999
10-02-2020,3352.090088,28.790001,159.899994,64.43,57.709998999999996,28.26,57.419998,9.1,13.18,10.3,237.36000099999998,55.349998,47.77,28.190001000000002,151.860001,85.660004,37.810001,43.43,287.02999900000003,80.387497,2133.909912,213.059998,1508.680054,154.429993,188.699997
11-02-2020,3357.75,29.84,164.020004,64.550003,58.66,28.57,57.93,9.22,13.44,10.5,236.460007,55.779999,47.990002000000004,28.17,151.990005,85.25,38.09,43.41,290.790009,79.902496,2150.800049,207.190002,1508.790039,153.479996,184.440002
12-02-2020,3379.4499509999996,30.469998999999998,166.380005,65.540001,59.470001,29.120001000000002,58.48,9.21,13.63,10.85,238.649994,56.18,47.790001000000004,28.549999,151.08999599999999,83.25,37.740002000000004,43.389998999999996,303.480011,81.800003,2160.0,210.75999500000003,1518.27002,155.309998,184.71000700000002
13-02-2020,3373.9399409999996,30.09,167.100006,66.5,59.130001,28.51,58.540001000000004,9.15,13.65,11.02,238.350006,55.93,48.119999,27.43,150.08999599999999,81.970001,36.93,43.68,302.200012,81.217499,2149.8701170000004,213.13999900000002,1514.660034,154.309998,183.71000700000002
14-02-2020,3380.1599119999996,29.200001,165.449997,66.110001,58.900002,27.959999,57.970001,9.08,13.62,11.04,237.080002,55.84,48.220001,27.74,150.130005,82.650002,36.509997999999996,43.389998999999996,298.77999900000003,81.237503,2134.8701170000004,214.17999300000002,1520.73999,150.699997,185.350006
18-02-2020,3370.290039,28.629998999999998,165.529999,65.489998,58.720001,27.040001,57.599998,9.08,13.65,10.71,233.210007,55.52,46.990002000000004,28.049999,149.139999,82.459999,36.32,44.099998,302.140015,79.75,2155.669922,217.80000299999998,1519.670044,151.100006,187.229996
19-02-2020,3386.149902,28.33,164.869995,65.16999799999999,58.509997999999996,26.700001,57.110001000000004,9.08,13.76,10.67,237.330002,56.310001,47.09,26.459999,148.940002,82.0,36.23,44.73,305.309998,80.904999,2170.219971,217.49000499999997,1526.689941,150.860001,187.279999
20-02-2020,3373.2299799999996,28.51,163.630005,65.360001,58.380001,26.790001,56.939999,9.32,13.74,10.67,232.729996,53.75,47.34,26.41,148.369995,82.489998,35.849998,43.860001000000004,302.130005,80.074997,2153.100098,214.580002,1518.150024,151.220001,184.419998
21-02-2020,3337.75,27.82,162.860001,65.43,57.869999,26.809998999999998,56.529999,9.27,13.62,10.24,230.61999500000002,52.419998,47.700001,26.5,149.929993,82.339996,35.720001,44.029999,301.429993,78.262497,2095.969971,210.17999300000002,1485.109985,149.83999599999999,178.58999599999999
24-02-2020,3225.889893,25.450001,154.720001,63.009997999999996,54.23,25.360001,54.110001000000004,8.67,12.83,9.64,224.539993,49.68,46.389998999999996,26.0,145.91000400000001,81.33000200000001,34.669998,42.540001000000004,277.790009,74.54499799999999,2009.290039,200.720001,1421.589966,146.429993,170.889999
25-02-2020,3128.209961,23.120001000000002,148.070007,58.810001,50.889998999999996,24.190001000000002,49.66,8.46,12.37,9.33,217.61000099999998,48.029999,45.119999,24.77,144.649994,80.269997,33.93,41.75,263.390015,72.019997,1972.7399899999998,196.770004,1388.449951,141.71000700000002,168.070007
26-02-2020,3116.389893,22.309998999999998,144.729996,57.369999,49.59,23.27,48.900002,8.42,12.19,9.45,215.77999900000003,47.240002000000004,44.139998999999996,24.440001000000002,143.679993,79.940002,34.720001,42.150002,263.0,73.162498,1979.589966,197.199997,1393.180054,139.75,170.169998
27-02-2020,2978.76001,20.6,130.96000700000002,52.959998999999996,48.189999,22.07,46.630001,7.84,11.59,8.98,205.690002,45.41,42.470001,22.52,139.119995,78.08000200000001,34.099998,40.779999,253.919998,68.379997,1884.300049,189.75,1318.089966,133.110001,158.179993
28-02-2020,2954.219971,19.049999,135.53999299999998,50.459998999999996,46.130001,20.879998999999998,46.189999,7.7,11.28,8.72,200.770004,45.029999,40.849998,22.129998999999998,134.479996,76.559998,33.419998,39.889998999999996,254.960007,68.339996,1883.75,192.470001,1339.329956,130.149994,162.009995
02-03-2020,3090.22998,18.860001,137.429993,50.029999,47.16,19.969998999999998,46.950001,7.51,11.37,8.59,209.470001,46.48,42.259997999999996,23.09,140.020004,81.370003,34.880001,41.200001,273.109985,74.702499,1953.949951,196.440002,1389.109985,134.300003,172.78999299999998
03-03-2020,3003.3701170000004,17.85,131.929993,47.369999,46.18,19.15,45.209998999999996,7.12,10.93,8.14,203.429993,44.400002,40.529999,23.02,135.58999599999999,79.129997,34.299999,41.59,261.399994,72.33000200000001,1908.9899899999998,185.889999,1341.390015,128.899994,164.509995
04-03-2020,3130.1201170000004,18.530001000000002,136.279999,49.689999,48.5,19.0,46.93,7.2,11.21,8.2,208.740005,45.240002000000004,41.400002,23.129998999999998,143.479996,82.970001,36.400002,43.639998999999996,289.420013,75.684998,1975.8299559999998,191.759995,1386.52002,134.220001,170.550003
05-03-2020,3023.939941,16.040001,123.5,43.459998999999996,45.009997999999996,16.82,45.25,6.89,10.58,7.75,198.78999299999998,42.59,38.900002,22.450001,142.009995,81.58000200000001,35.459998999999996,43.09,282.959991,73.230003,1924.030029,185.169998,1319.040039,129.550003,166.270004
06-03-2020,2972.3701170000004,15.97,121.760002,45.209998999999996,45.889998999999996,17.620001000000002,45.73,6.74,10.35,7.59,192.850006,41.84,37.09,20.959999,142.029999,82.199997,35.02,42.029999,283.869995,72.2575,1901.089966,181.08999599999999,1298.410034,127.730003,161.570007
09-03-2020,2746.560059,14.75,118.400002,43.189999,43.52,16.85,43.619999,6.02,8.93,6.62,172.809998,37.5,32.48,18.27,136.440002,78.959999,33.759997999999996,39.580002,273.440002,66.542503,1800.609985,169.5,1215.560059,117.809998,150.619995
10-03-2020,2882.22998,17.0,127.0,46.779999,45.470001,17.459999,45.560001,6.18,9.65,6.96,184.350006,39.5,35.080002,19.360001,141.639999,82.019997,34.59,40.91,280.0,71.334999,1891.819946,178.190002,1280.390015,124.769997,160.919998
11-03-2020,2741.3798829999996,16.26,119.970001,45.700001,42.669998,15.74,42.490002000000004,5.87,9.07,6.51,171.889999,36.869999,32.330002,18.450001,131.800003,79.25,32.169998,39.169998,277.77999900000003,68.85749799999999,1820.859985,170.240005,1215.410034,117.970001,153.630005
12-03-2020,2480.639893,13.45,102.550003,35.080002,33.709998999999996,12.26,36.07,5.0,7.71,5.53,150.679993,31.309998999999998,27.200001,16.219998999999998,125.410004,74.449997,30.02,35.66,250.41000400000001,62.057499,1676.609985,154.470001,1114.910034,102.809998,139.059998
13-03-2020,2711.02002,14.31,113.309998,37.950001,38.360001000000004,14.13,41.279999,5.4,8.16,5.97,177.169998,37.5,30.889999,18.799999,134.28999299999998,76.75,32.709998999999996,40.299999,272.040009,69.4925,1785.0,170.279999,1219.72998,107.949997,158.830002
